Date,USDEUR,Hour
09/11/2010,1.38665,0
10/11/2010,1.37715,0
11/11/2010,1.3774,0
12/11/2010,1.3621,0
15/11/2010,1.3689,0
16/11/2010,1.35745,0
17/11/2010,1.34935,0
18/11/2010,1.3553,0
19/11/2010,1.3658,0
22/11/2010,1.37415,0
23/11/2010,1.36005,0
24/11/2010,1.3386,0
25/11/2010,1.33585,0
26/11/2010,1.33385,0
29/11/2010,1.32375,0
30/11/2010,1.31005,0
01/12/2010,1.2996,0
02/12/2010,1.3126,0
03/12/2010,1.3212,0
06/12/2010,1.34135,0
07/12/2010,1.3288,0
08/12/2010,1.3249,0
09/12/2010,1.3249,0
10/12/2010,1.3241,0
13/12/2010,1.3197,0
14/12/2010,1.33935,0
15/12/2010,1.3357,0
16/12/2010,1.3224,0
17/12/2010,1.3239,0
20/12/2010,1.3163,0
21/12/2010,1.31175,0
22/12/2010,1.3091,0
23/12/2010,1.31155,0
24/12/2010,1.31235,0
27/12/2010,1.30795,0
28/12/2010,1.3189,0
29/12/2010,1.3085,0
30/12/2010,1.3224,0
31/12/2010,1.3301,0
03/01/2011,1.33565,0
04/01/2011,1.3356,0
05/01/2011,1.33185,0
06/01/2011,1.31565,0
07/01/2011,1.298,0
10/01/2011,1.2894,0
11/01/2011,1.29645,0
12/01/2011,1.2983,0
13/01/2011,1.3127,0
14/01/2011,1.335,0
17/01/2011,1.3379,0
18/01/2011,1.3283,0
19/01/2011,1.338,0
20/01/2011,1.34525,0
21/01/2011,1.3466,0
24/01/2011,1.362,0
25/01/2011,1.36425,0
26/01/2011,1.3685,0
27/01/2011,1.371,0
28/01/2011,1.3723,0
31/01/2011,1.35725,0
01/02/2011,1.37125,0
02/02/2011,1.383,0
03/02/2011,1.3817,0
04/02/2011,1.36225,0
07/02/2011,1.35735,0
08/02/2011,1.3593,0
09/02/2011,1.3626,0
10/02/2011,1.372,0
11/02/2011,1.3605,0
14/02/2011,1.35135,0
15/02/2011,1.348,0
16/02/2011,1.3498,0
17/02/2011,1.3575,0
18/02/2011,1.3623,0
21/02/2011,1.3713,0
22/02/2011,1.3682,0
23/02/2011,1.36715,0
24/02/2011,1.37605,0
25/02/2011,1.38185,0
28/02/2011,1.37335,0
01/03/2011,1.3821,0
02/03/2011,1.3768,0
03/03/2011,1.3866,0
04/03/2011,1.3956,0
07/03/2011,1.3991,0
08/03/2011,1.39625,0
09/03/2011,1.3894,0
10/03/2011,1.3904,0
11/03/2011,1.3801,0
14/03/2011,1.39345,0
15/03/2011,1.3991,0
16/03/2011,1.39845,0
17/03/2011,1.3884,0
18/03/2011,1.4031,0
21/03/2011,1.4169,0
22/03/2011,1.4216,0
23/03/2011,1.4169,0
24/03/2011,1.41045,0
25/03/2011,1.41695,0
28/03/2011,1.4035,0
29/03/2011,1.4073,0
30/03/2011,1.41205,0
31/03/2011,1.4128,0
01/04/2011,1.41565,0
04/04/2011,1.4235,0
05/04/2011,1.42055,0
06/04/2011,1.4232,0
07/04/2011,1.43245,0
08/04/2011,1.42965,0
11/04/2011,1.44815,0
12/04/2011,1.44245,0
13/04/2011,1.4484,0
14/04/2011,1.4455,0
15/04/2011,1.45025,0
18/04/2011,1.4397,0
19/04/2011,1.42375,0
20/04/2011,1.43655,0
21/04/2011,1.45185,0
22/04/2011,1.4559,0
25/04/2011,1.4588,0
26/04/2011,1.45515,0
27/04/2011,1.4705,0
28/04/2011,1.4788,0
29/04/2011,1.48405,0
02/05/2011,1.48155,0
03/05/2011,1.4795,0
04/05/2011,1.4837,0
05/05/2011,1.4828,0
06/05/2011,1.4559,0
09/05/2011,1.43865,0
10/05/2011,1.43685,0
11/05/2011,1.44,0
12/05/2011,1.42075,0
13/05/2011,1.42285,0
16/05/2011,1.40665,0
17/05/2011,1.41475,0
18/05/2011,1.4267,0
19/05/2011,1.42585,0
20/05/2011,1.4326,0
23/05/2011,1.41175,0
24/05/2011,1.40135,0
25/05/2011,1.40925,0
26/05/2011,1.40705,0
27/05/2011,1.41445,0
30/05/2011,1.42895,0
31/05/2011,1.43325,0
01/06/2011,1.44245,0
02/06/2011,1.43465,0
03/06/2011,1.4487,0
06/06/2011,1.4653,0
07/06/2011,1.459,0
08/06/2011,1.46795,0
09/06/2011,1.4593,0
10/06/2011,1.4537,0
13/06/2011,1.43355,0
14/06/2011,1.4416,0
15/06/2011,1.4433,0
16/06/2011,1.4192,0
17/06/2011,1.42015,0
20/06/2011,1.4261,0
21/06/2011,1.43605,0
22/06/2011,1.4377,0
23/06/2011,1.4331,0
24/06/2011,1.42625,0
27/06/2011,1.41555,0
28/06/2011,1.43115,0
29/06/2011,1.43575,0
30/06/2011,1.44635,0
01/07/2011,1.44745,0
04/07/2011,1.45655,0
05/07/2011,1.4542,0
06/07/2011,1.44335,0
07/07/2011,1.43355,0
08/07/2011,1.43625,0
11/07/2011,1.42115,0
12/07/2011,1.40385,0
13/07/2011,1.39895,0
14/07/2011,1.42705,0
15/07/2011,1.4163,0
18/07/2011,1.41265,0
19/07/2011,1.4127,0
20/07/2011,1.417,0
21/07/2011,1.426,0
22/07/2011,1.44105,0
25/07/2011,1.4367,0
26/07/2011,1.43745,0
27/07/2011,1.45065,0
28/07/2011,1.436,0
29/07/2011,1.4326,0
01/08/2011,1.4355,0
02/08/2011,1.4273,0
03/08/2011,1.41835,0
04/08/2011,1.435,0
05/08/2011,1.4075,0
08/08/2011,1.4311,0
09/08/2011,1.41775,0
10/08/2011,1.43545,0
11/08/2011,1.4135,0
12/08/2011,1.42155,0
15/08/2011,1.4284,0
16/08/2011,1.4437,0
17/08/2011,1.4381,0
18/08/2011,1.4429,0
19/08/2011,1.4296,0
22/08/2011,1.43665,0
23/08/2011,1.43575,0
24/08/2011,1.44385,0
25/08/2011,1.4407,0
26/08/2011,1.4387,0
29/08/2011,1.44805,0
30/08/2011,1.45165,0
31/08/2011,1.44395,0
01/09/2011,1.4364,0
02/09/2011,1.42685,0
05/09/2011,1.4149,0
06/09/2011,1.40675,0
07/09/2011,1.40095,0
08/09/2011,1.408,0
09/09/2011,1.3889,0
12/09/2011,1.35825,0
13/09/2011,1.36385,0
14/09/2011,1.36825,0
15/09/2011,1.3748,0
16/09/2011,1.3881,0
19/09/2011,1.3682,0
20/09/2011,1.36225,0
21/09/2011,1.37065,0
22/09/2011,1.35765,0
23/09/2011,1.3505,0
26/09/2011,1.35155,0
27/09/2011,1.34965,0
28/09/2011,1.35855,0
29/09/2011,1.35225,0
30/09/2011,1.35965,0
03/10/2011,1.33575,0
04/10/2011,1.3187,0
05/10/2011,1.33175,0
06/10/2011,1.3347,0
07/10/2011,1.34275,0
10/10/2011,1.34,0
11/10/2011,1.3626,0
12/10/2011,1.36335,0
13/10/2011,1.37785,0
14/10/2011,1.37525,0
17/10/2011,1.3873,0
18/10/2011,1.37445,0
19/10/2011,1.3733,0
20/10/2011,1.3767,0
21/10/2011,1.3795,0
24/10/2011,1.3848,0
25/10/2011,1.3919,0
26/10/2011,1.39005,0
27/10/2011,1.38855,0
28/10/2011,1.41985,0
31/10/2011,1.41375,0
01/11/2011,1.386,0
02/11/2011,1.3653,0
03/11/2011,1.36895,0
04/11/2011,1.38225,0
07/11/2011,1.37865,0
08/11/2011,1.3759,0
09/11/2011,1.38245,0
