Date,USEURSP
01/01/2001,0.9389
02/01/2001,0.9475
03/01/2001,0.9458
04/01/2001,0.9446
05/01/2001,0.9517
08/01/2001,0.9499
09/01/2001,0.9406
10/01/2001,0.9408
11/01/2001,0.9499
12/01/2001,0.9488
15/01/2001,0.942
16/01/2001,0.9409
17/01/2001,0.9304
18/01/2001,0.9445
19/01/2001,0.9351
22/01/2001,0.9354
23/01/2001,0.9393
24/01/2001,0.9229
25/01/2001,0.9202
26/01/2001,0.922
29/01/2001,0.9185
30/01/2001,0.9245
31/01/2001,0.93
01/02/2001,0.9403
02/02/2001,0.9334
05/02/2001,0.94
06/02/2001,0.9315
07/02/2001,0.9326
08/02/2001,0.9187
09/02/2001,0.9243
12/02/2001,0.9297
13/02/2001,0.9213
14/02/2001,0.9185
15/02/2001,0.9036
16/02/2001,0.9158
19/02/2001,0.9207
20/02/2001,0.9089
21/02/2001,0.9122
22/02/2001,0.9078
23/02/2001,0.9083
26/02/2001,0.9097
27/02/2001,0.9187
28/02/2001,0.9196
01/03/2001,0.9297
02/03/2001,0.9355
05/03/2001,0.929
06/03/2001,0.9304
07/03/2001,0.9273
08/03/2001,0.9319
09/03/2001,0.9319
12/03/2001,0.9292
13/03/2001,0.9173
14/03/2001,0.9117
15/03/2001,0.9066
16/03/2001,0.8967
19/03/2001,0.898
20/03/2001,0.9029
21/03/2001,0.8975
22/03/2001,0.8837
23/03/2001,0.8931
26/03/2001,0.8955
27/03/2001,0.8982
28/03/2001,0.8892
29/03/2001,0.882
30/03/2001,0.884
02/04/2001,0.882
03/04/2001,0.8867
04/04/2001,0.9028
05/04/2001,0.8966
06/04/2001,0.9014
09/04/2001,0.902
10/04/2001,0.8902
11/04/2001,0.8847
12/04/2001,0.8935
13/04/2001,0.8935
16/04/2001,0.8843
17/04/2001,0.8821
18/04/2001,0.8728
19/04/2001,0.889
20/04/2001,0.9012
23/04/2001,0.8973
24/04/2001,0.8939
25/04/2001,0.8972
26/04/2001,0.9018
27/04/2001,0.8926
30/04/2001,0.8866
01/05/2001,0.8913
02/05/2001,0.8916
03/05/2001,0.8936
04/05/2001,0.8951
07/05/2001,0.8914
08/05/2001,0.8852
09/05/2001,0.8843
10/05/2001,0.8832
11/05/2001,0.8761
14/05/2001,0.874
15/05/2001,0.8786
16/05/2001,0.8843
17/05/2001,0.8813
18/05/2001,0.8769
21/05/2001,0.8751
22/05/2001,0.8665
23/05/2001,0.8608
24/05/2001,0.8576
25/05/2001,0.8568
28/05/2001,0.8601
29/05/2001,0.8542
30/05/2001,0.8573
31/05/2001,0.8476
01/06/2001,0.8465
04/06/2001,0.8476
05/06/2001,0.848
06/06/2001,0.8468
07/06/2001,0.8503
08/06/2001,0.8484
11/06/2001,0.8418
12/06/2001,0.8491
13/06/2001,0.8515
14/06/2001,0.8588
15/06/2001,0.8622
18/06/2001,0.8613
19/06/2001,0.8574
20/06/2001,0.8519
21/06/2001,0.8536
22/06/2001,0.8544
25/06/2001,0.8613
26/06/2001,0.8617
27/06/2001,0.8599
28/06/2001,0.8485
29/06/2001,0.8466
02/07/2001,0.8463
03/07/2001,0.8467
04/07/2001,0.8458
05/07/2001,0.8369
06/07/2001,0.8445
09/07/2001,0.8492
10/07/2001,0.8559
11/07/2001,0.8613
12/07/2001,0.8525
13/07/2001,0.8517
16/07/2001,0.855
17/07/2001,0.8515
18/07/2001,0.8713
19/07/2001,0.8697
20/07/2001,0.8729
23/07/2001,0.868
24/07/2001,0.8744
25/07/2001,0.8792
26/07/2001,0.8768
27/07/2001,0.8734
30/07/2001,0.8752
31/07/2001,0.875
01/08/2001,0.879
02/08/2001,0.8819
03/08/2001,0.8857
06/08/2001,0.8804
07/08/2001,0.8768
08/08/2001,0.8764
09/08/2001,0.8887
10/08/2001,0.8954
13/08/2001,0.8985
14/08/2001,0.8974
15/08/2001,0.9111
16/08/2001,0.9128
17/08/2001,0.9166
20/08/2001,0.9125
21/08/2001,0.9126
22/08/2001,0.921
23/08/2001,0.9131
24/08/2001,0.913
27/08/2001,0.9095
28/08/2001,0.9094
29/08/2001,0.9103
30/08/2001,0.9092
31/08/2001,0.9084
03/09/2001,0.9064
04/09/2001,0.8908
05/09/2001,0.8885
06/09/2001,0.8911
07/09/2001,0.9034
10/09/2001,0.8994
11/09/2001,0.9074
12/09/2001,0.9057
13/09/2001,0.9083
14/09/2001,0.9206
17/09/2001,0.9195
18/09/2001,0.9218
19/09/2001,0.9295
20/09/2001,0.9271
21/09/2001,0.916
24/09/2001,0.9151
25/09/2001,0.9235
26/09/2001,0.9212
27/09/2001,0.9204
28/09/2001,0.9107
01/10/2001,0.9157
02/10/2001,0.9161
03/10/2001,0.9204
04/10/2001,0.9133
05/10/2001,0.9189
08/10/2001,0.919
09/10/2001,0.9182
10/10/2001,0.9114
11/10/2001,0.9019
12/10/2001,0.9059
15/10/2001,0.9074
16/10/2001,0.9089
17/10/2001,0.9067
18/10/2001,0.9029
19/10/2001,0.8974
22/10/2001,0.8918
23/10/2001,0.8883
24/10/2001,0.8917
25/10/2001,0.8962
26/10/2001,0.8923
29/10/2001,0.9043
30/10/2001,0.9088
31/10/2001,0.9007
01/11/2001,0.9065
02/11/2001,0.9042
05/11/2001,0.8968
06/11/2001,0.8968
07/11/2001,0.8998
08/11/2001,0.8923
09/11/2001,0.8935
12/11/2001,0.8945
13/11/2001,0.8819
14/11/2001,0.8837
15/11/2001,0.8811
16/11/2001,0.8853
19/11/2001,0.8793
20/11/2001,0.8829
21/11/2001,0.8762
22/11/2001,0.8792
23/11/2001,0.8766
26/11/2001,0.8792
27/11/2001,0.8817
28/11/2001,0.8859
29/11/2001,0.8866
30/11/2001,0.8954
03/12/2001,0.8906
04/12/2001,0.8915
05/12/2001,0.8882
06/12/2001,0.8912
07/12/2001,0.8908
10/12/2001,0.8886
11/12/2001,0.8887
12/12/2001,0.8952
13/12/2001,0.8976
14/12/2001,0.9027
17/12/2001,0.905
18/12/2001,0.9017
19/12/2001,0.8984
20/12/2001,0.8974
21/12/2001,0.887
24/12/2001,0.8781
25/12/2001,0.8781
26/12/2001,0.8789
27/12/2001,0.8868
28/12/2001,0.8818
31/12/2001,0.8904
01/01/2002,0.8904
02/01/2002,0.9043
03/01/2002,0.9004
04/01/2002,0.8947
07/01/2002,0.8924
08/01/2002,0.8911
09/01/2002,0.8889
10/01/2002,0.8933
11/01/2002,0.8907
14/01/2002,0.8945
15/01/2002,0.8913
16/01/2002,0.8836
17/01/2002,0.8806
18/01/2002,0.8836
21/01/2002,0.8833
22/01/2002,0.8825
23/01/2002,0.8842
24/01/2002,0.8783
25/01/2002,0.8646
28/01/2002,0.8614
29/01/2002,0.8617
30/01/2002,0.862
31/01/2002,0.8609
01/02/2002,0.8611
04/02/2002,0.8663
05/02/2002,0.8685
06/02/2002,0.8688
07/02/2002,0.8695
08/02/2002,0.8723
11/02/2002,0.8777
12/02/2002,0.8764
13/02/2002,0.8725
14/02/2002,0.8702
15/02/2002,0.8733
18/02/2002,0.8703
19/02/2002,0.874
20/02/2002,0.8718
21/02/2002,0.8708
22/02/2002,0.8772
25/02/2002,0.8714
26/02/2002,0.8688
27/02/2002,0.8641
28/02/2002,0.865
01/03/2002,0.8657
04/03/2002,0.8694
05/03/2002,0.8693
06/03/2002,0.875
07/03/2002,0.8807
08/03/2002,0.8762
11/03/2002,0.8763
12/03/2002,0.8733
13/03/2002,0.8758
14/03/2002,0.8825
15/03/2002,0.8837
18/03/2002,0.8813
19/03/2002,0.8829
20/03/2002,0.8845
21/03/2002,0.8821
22/03/2002,0.8792
25/03/2002,0.8768
26/03/2002,0.8767
27/03/2002,0.8728
28/03/2002,0.8724
29/03/2002,0.8724
01/04/2002,0.8796
02/04/2002,0.8814
03/04/2002,0.8807
04/04/2002,0.8825
05/04/2002,0.8792
08/04/2002,0.875
09/04/2002,0.8763
10/04/2002,0.8791
11/04/2002,0.8836
12/04/2002,0.8798
15/04/2002,0.8809
16/04/2002,0.8829
17/04/2002,0.8877
18/04/2002,0.8907
19/04/2002,0.889
22/04/2002,0.8888
23/04/2002,0.8895
24/04/2002,0.892
25/04/2002,0.8986
26/04/2002,0.8987
29/04/2002,0.9015
30/04/2002,0.9011
01/05/2002,0.9062
02/05/2002,0.9029
03/05/2002,0.9129
06/05/2002,0.916
07/05/2002,0.9125
08/05/2002,0.9085
09/05/2002,0.9083
10/05/2002,0.9128
13/05/2002,0.9109
14/05/2002,0.9014
15/05/2002,0.9069
16/05/2002,0.909
17/05/2002,0.921
20/05/2002,0.9213
21/05/2002,0.9182
22/05/2002,0.9268
23/05/2002,0.9213
24/05/2002,0.9228
27/05/2002,0.9197
28/05/2002,0.929
29/05/2002,0.9322
30/05/2002,0.9377
31/05/2002,0.9343
03/06/2002,0.938
04/06/2002,0.9436
05/06/2002,0.9377
06/06/2002,0.945
07/06/2002,0.9452
10/06/2002,0.9443
11/06/2002,0.9426
12/06/2002,0.9465
13/06/2002,0.9458
14/06/2002,0.9484
17/06/2002,0.9435
18/06/2002,0.9483
19/06/2002,0.9555
20/06/2002,0.9644
21/06/2002,0.9691
24/06/2002,0.9777
25/06/2002,0.9702
26/06/2002,0.9903
27/06/2002,0.9838
28/06/2002,0.9876
01/07/2002,0.9873
02/07/2002,0.986
03/07/2002,0.9807
04/07/2002,0.9793
05/07/2002,0.9734
08/07/2002,0.987
09/07/2002,0.9932
10/07/2002,0.9875
11/07/2002,0.9893
12/07/2002,0.989
15/07/2002,1.0062
16/07/2002,1.0107
17/07/2002,1.0075
18/07/2002,1.008
19/07/2002,1.0146
22/07/2002,1.0067
23/07/2002,0.992
24/07/2002,0.9931
25/07/2002,1.0014
26/07/2002,0.9888
29/07/2002,0.9777
30/07/2002,0.9869
31/07/2002,0.9804
01/08/2002,0.9823
02/08/2002,0.9851
05/08/2002,0.9864
06/08/2002,0.9643
07/08/2002,0.9706
08/08/2002,0.9687
09/08/2002,0.9724
12/08/2002,0.9779
13/08/2002,0.9777
14/08/2002,0.9869
15/08/2002,0.9795
16/08/2002,0.9839
19/08/2002,0.9763
20/08/2002,0.9756
21/08/2002,0.9808
22/08/2002,0.9724
23/08/2002,0.9727
26/08/2002,0.9727
27/08/2002,0.9799
28/08/2002,0.9813
29/08/2002,0.9841
30/08/2002,0.9807
02/09/2002,0.9844
03/09/2002,0.9967
04/09/2002,0.9938
05/09/2002,0.9918
06/09/2002,0.985
09/09/2002,0.9816
10/09/2002,0.9739
11/09/2002,0.9718
12/09/2002,0.9763
13/09/2002,0.9786
16/09/2002,0.972
17/09/2002,0.9692
18/09/2002,0.9775
19/09/2002,0.9828
20/09/2002,0.9835
23/09/2002,0.9838
24/09/2002,0.9808
25/09/2002,0.9792
26/09/2002,0.9765
27/09/2002,0.9756
30/09/2002,0.9883
01/10/2002,0.9846
02/10/2002,0.9846
03/10/2002,0.9877
04/10/2002,0.9823
07/10/2002,0.9825
08/10/2002,0.9786
09/10/2002,0.9867
10/10/2002,0.9852
11/10/2002,0.9858
14/10/2002,0.987
15/10/2002,0.9826
16/10/2002,0.9823
17/10/2002,0.9725
18/10/2002,0.9717
21/10/2002,0.9737
22/10/2002,0.9771
23/10/2002,0.9762
24/10/2002,0.974
25/10/2002,0.9772
28/10/2002,0.9831
29/10/2002,0.9854
30/10/2002,0.9837
31/10/2002,0.9903
01/11/2002,0.9965
04/11/2002,0.9951
05/11/2002,1.0005
06/11/2002,0.9973
07/11/2002,1.0079
